id,id_lugar,puntaje,comentario
1,47,4.0,Comida deliciosa
2,47,2.0,Me sirvieron la comida fría y el servicio pesimo
2,3,5.0,Precioso
1,3,5.0,Hermoso
1,3,4.0,"Un lago impresionante, los atardeceres son hermosos. Siento que la carretera necesita mantenimiento"
2,4,3.0,"Muy bonito, pero todo es bastante caro"
1,40,5.0,Hermoso zoologico
1,40,4.0,Le falta mejorar ciertas cosas
1,48,5.0,Comida exquisita
2,74,4.0,Le falta calidad al pollo
3,91,5.0,"Lugar para disfrutar en familia, muy buenas instalaciones, personal muy amable :)"
4,91,2.0,"Carretera muy angosta, le hice un golpe a mi carro"
1,91,4.0,"Mis perros lo disfrutaron, y yo tambien jajaja"
2,91,5.0,xd
